  step          time          temperature          energy_tot          energy_kin          energy_pot
 114            57.00             341.88          -149.918698            0.009744         -149.928442
 115            57.50             421.02          -149.918831            0.012000         -149.930830
 116            58.00             513.10          -149.919037            0.014624         -149.933661
 117            58.50             566.62          -149.919228            0.016149         -149.935377
 118            59.00             550.81          -149.919339            0.015699         -149.935037
 119            59.50             471.66          -149.919356            0.013443         -149.932799
 120            60.00             363.62          -149.919307            0.010364         -149.929671
 121            60.50             269.12          -149.919233            0.007670         -149.926903
 122            61.00             219.71          -149.919175            0.006262         -149.925437
 123            61.50             225.21          -149.919166            0.006419         -149.925585
 124            62.00             271.43          -149.919213            0.007736         -149.926949
 125            62.50             326.55          -149.919294            0.009307         -149.928601
 126            63.00             356.35          -149.919361            0.010156         -149.929517
 127            63.50             344.01          -149.919361            0.009805         -149.929165
 128            64.00             304.18          -149.919285            0.008669         -149.927955
 129            64.50             277.65          -149.919197            0.007913         -149.927111
 130            65.00             302.50          -149.919192            0.008622         -149.927814
 131            65.50             380.41          -149.919313            0.010842         -149.930156
 132            66.00             470.09          -149.919505            0.013398         -149.932903
 133            66.50             517.02          -149.919668            0.014736         -149.934404
 134            67.00             491.45          -149.919740            0.014007         -149.933747
 135            67.50             403.64          -149.919715            0.011504         -149.931219
 136            68.00             292.26          -149.919627            0.008330         -149.927957
 137            68.50             201.73          -149.919520            0.005750         -149.925270
 138            69.00             163.11          -149.919439            0.004649         -149.924088
 139            69.50             184.13          -149.919415            0.005248         -149.924663
 140            70.00             247.59          -149.919457            0.007057         -149.926513
 141            70.50             318.37          -149.919539            0.009074         -149.928613
 142            71.00             359.34          -149.919611            0.010242         -149.929853
 143            71.50             351.71          -149.919616            0.010024         -149.929640
 144            72.00             309.69          -149.919540            0.008826         -149.928367
 145            72.50             275.69          -149.919445            0.007858         -149.927303
 146            73.00             290.69          -149.919431            0.008285         -149.927716
 147            73.50             358.39          -149.919542            0.010215         -149.929756
 148            74.00             437.72          -149.919718            0.012475         -149.932193
 149            74.50             474.23          -149.919857            0.013516         -149.933374
 150            75.00             439.91          -149.919899            0.012538         -149.932437
 151            75.50             347.72          -149.919843            0.009911         -149.929754
 152            76.00             238.29          -149.919729            0.006792         -149.926520
 153            76.50             156.10          -149.919603            0.004449         -149.924052
 154            77.00             130.43          -149.919512            0.003718         -149.923230
 155            77.50             166.10          -149.919487            0.004734         -149.924221
 156            78.00             242.11          -149.919532            0.006900         -149.926432
 157            78.50             320.10          -149.919618            0.009123         -149.928741
 158            79.00             361.96          -149.919688            0.010316         -149.930005
 159            79.50             350.74          -149.919686            0.009996         -149.929683
 160            80.00             304.14          -149.919603            0.008668         -149.928272
 161            80.50             267.21          -149.919505            0.007616         -149.927121
 162            81.00             280.60          -149.919491            0.007997         -149.927489
 163            81.50             345.23          -149.919600            0.009840         -149.929440
 164            82.00             417.81          -149.919764            0.011908         -149.931672
